Date,Open,High,Low,Close
1982-03-19,0.8181,0.8181,0.8181,0.8181
1982-03-22,0.8157,0.8157,0.8157,0.8157
1982-03-23,0.8177,0.8177,0.8177,0.8177
1982-03-24,0.8172,0.8172,0.8172,0.8172
1982-03-25,0.8148,0.8148,0.8148,0.8148
1982-03-26,0.8139,0.8139,0.8139,0.8139
1982-03-29,0.8076,0.8076,0.8076,0.8076
1982-03-30,0.8098,0.8098,0.8098,0.8098
1982-03-31,0.8067,0.8067,0.8067,0.8067
1982-04-01,0.8116,0.8116,0.8116,0.8116
1982-04-02,0.8132,0.8132,0.8132,0.8132
1982-04-05,0.8098,0.8098,0.8098,0.8098
1982-04-06,0.8079,0.8079,0.8079,0.8079
1982-04-07,0.808,0.808,0.808,0.808
1982-04-08,0.8051,0.8051,0.8051,0.8051
1982-04-09,0.8051,0.8051,0.8051,0.8051
1982-04-12,0.806,0.806,0.806,0.806
1982-04-13,0.8085,0.8085,0.8085,0.8085
1982-04-14,0.8062,0.8062,0.8062,0.8062
1982-04-15,0.8044,0.8044,0.8044,0.8044
1982-04-16,0.8052,0.8052,0.8052,0.8052
1982-04-19,0.8091,0.8091,0.8091,0.8091
1982-04-20,0.813,0.813,0.813,0.813
1982-04-21,0.8143,0.8143,0.8143,0.8143
1982-04-22,0.8139,0.8139,0.8139,0.8139
1982-04-23,0.8169,0.8169,0.8169,0.8169
1982-04-26,0.8216,0.8216,0.8216,0.8216
1982-04-27,0.8234,0.8234,0.8234,0.8234
1982-04-28,0.828,0.828,0.828,0.828
1982-04-29,0.8338,0.8338,0.8338,0.8338
1982-04-30,0.8367,0.8367,0.8367,0.8367
1982-05-03,0.834,0.834,0.834,0.834
1982-05-04,0.8315,0.8315,0.8315,0.8315
1982-05-05,0.8403,0.8403,0.8403,0.8403
1982-05-06,0.8445,0.8445,0.8445,0.8445
1982-05-07,0.8518,0.8518,0.8518,0.8518
1982-05-10,0.8532,0.8532,0.8532,0.8532
